"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2011",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2012","Situación al 31 de ENERO de 2012",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","1,814","1,551","263","3,342","12.707"
"BROCOLI","238","","238","3,964","16.655"
"CALABACITA","161","5","156","4,436","28.436"
"CEBOLLA","96","","96","2,542","26.479"
"CHILE VERDE","942","","868","14,322","16.501"
"COLIFLOR","157","","157","4,576","29.146"
"FRESA","6","","6","240","40.000"
"FRIJOL","5,785","4,578","1,207","2,212","1.833"
"LECHUGA","469","","469","18,482","39.407"
"MAIZ FORRAJERO EN VERDE","48,146","30,106","18,040","920,121","51.005"
"MAIZ GRANO","32,498","25,471","6,757","51,848","7.673"
"PAPA","8","","8","260","32.500"
"PEPINO","121","6","115","5,156","44.835"
"SORGO FORRAJERO EN VERDE","1,094","880","214","10,286","48.068"
"SORGO GRANO","35","","35","245","7.000"
"TOMATE ROJO (JITOMATE)","348","6","342","12,057","35.254"
"TOMATE VERDE","416","","416","9,728","23.385"
"ZANAHORIA","57","","57","1,140","20.000"
"TOTAL","92,392","62,604","29,444","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
