"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2008",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2009","Situación al 31 de ENERO de 2009",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","1,180","","1,171","16,564","14.145"
"BROCOLI","302","","299","4,036","13.498"
"CALABACITA","119","8","111","2,755","24.820"
"CEBOLLA","98","","97","1,910","19.691"
"CHILE VERDE","1,053","37","267","2,740","10.262"
"COLIFLOR","125","","125","3,737","29.896"
"FRESA","21","","","",""
"FRIJOL","11,022","96","8,769","5,286","0.603"
"LECHUGA","555","26","522","19,151","36.688"
"MAIZ FORRAJERO EN VERDE","54,466","3,093","49,712","1,329,793","26.750"
"MAIZ GRANO","55,492","201","52,007","85,770","1.649"
"PEPINO","167","15","152","4,301","28.296"
"SORGO FORRAJERO EN VERDE","1,526","18","1,508","36,391","24.140"
"SORGO GRANO","20","","20","100","5.000"
"TOMATE ROJO (JITOMATE)","262","12","223","5,734","25.713"
"TOMATE VERDE","240","21","216","4,667","21.606"
"ZANAHORIA","80","","79","1,690","21.392"
"TOTAL","126,728","3,526","115,278","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
