"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2004",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2005","Situación al 31 de ENERO de 2005",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","1,139","39","1,100","12,868","11.698"
"BROCOLI","145","7","138","1,678","12.159"
"CALABACITA","94","32","62","1,220","19.677"
"CEBOLLA","50","6","44","1,032","23.455"
"CHILE VERDE","1,385","236","1,149","10,793","9.393"
"COLIFLOR","56","12","44","864","19.636"
"FRESA","6","","6","39","6.500"
"FRIJOL","12,723","1,429","11,294","5,119","0.453"
"LECHUGA","400","74","326","11,278","34.595"
"MAIZ FORRAJERO EN VERDE","54,840","2,429","52,411","1,225,181","23.376"
"MAIZ GRANO","53,056","4,932","48,124","49,059","1.019"
"PAPA","86","12","74","2,006","27.108"
"PEPINO","31","","31","867","27.968"
"SANDIA","3","","3","90","30.000"
"SORGO FORRAJERO EN VERDE","1,721","45","1,676","38,111","22.739"
"SORGO GRANO","11","","11","77","7.000"
"TOMATE ROJO (JITOMATE)","601","115","486","15,343","31.570"
"TOMATE VERDE","459","","459","8,989","19.584"
"ZANAHORIA","75","1","74","1,334","18.027"
"TOTAL","126,881","9,369","117,512","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
