"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2005",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2006","Situación al 31 de ENERO de 2006",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","1,481","569","912","5,643","6.188"
"BROCOLI","213","","213","2,707","12.709"
"CALABACITA","174","","174","4,545","26.121"
"CEBOLLA","31","","31","673","21.710"
"CHILE VERDE","1,326","","1,326","12,357","9.319"
"COLIFLOR","132","","132","3,892","29.485"
"FRIJOL","11,737","4,217","7,520","3,483","0.463"
"LECHUGA","346","","346","13,162","38.040"
"MAIZ FORRAJERO EN VERDE","60,672","5,676","54,996","1,035,032","18.820"
"MAIZ GRANO","45,538","21,916","23,622","31,520","1.334"
"PAPA","27","","27","380","14.074"
"PEPINO","52","","52","1,379","26.519"
"SORGO FORRAJERO EN VERDE","1,380","75","1,306","15,693","12.020"
"SORGO GRANO","47","2","45","265","5.889"
"TOMATE ROJO (JITOMATE)","404","","404","12,295","30.433"
"TOMATE VERDE","411","","411","8,193","19.934"
"ZANAHORIA","88","8","80","1,460","18.250"
"TOTAL","124,059","32,463","91,596","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
