"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2006",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2007","Situación al 31 de ENERO de 2007",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","2,113","","2,113","31,190","14.761"
"BROCOLI","171","","171","2,116","12.374"
"CALABACITA","266","18","248","6,845","27.601"
"CEBOLLA","95","","95","3,166","33.326"
"CHILE VERDE","1,107","3","1,104","10,881","9.856"
"COLIFLOR","110","16","94","2,768","29.447"
"FRESA","20","","20","240","12.000"
"FRIJOL","10,560","681","9,879","5,037","0.510"
"LECHUGA","348","41","307","11,558","37.648"
"MAIZ FORRAJERO EN VERDE","55,770","2,045","53,724","1,212,937","22.577"
"MAIZ GRANO","43,765","6,117","37,648","51,318","1.363"
"PEPINO","88","6","82","2,383","29.061"
"SANDIA","1","","1","30","30.000"
"SORGO FORRAJERO EN VERDE","1,524","","1,524","19,747","12.961"
"SORGO GRANO","30","","30","190","6.333"
"TOMATE ROJO (JITOMATE)","355","","355","12,484","35.166"
"TOMATE VERDE","364","","364","8,017","22.025"
"ZANAHORIA","88","","88","1,775","20.170"
"TOTAL","116,774","8,927","107,847","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
