"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2012",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2013","Situación al 31 de ENERO de 2013",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","1,997","929","1,068","8,084","7.569"
"BROCOLI","260","","260","4,739","18.227"
"CALABACITA","108","","108","3,122","28.912"
"CEBOLLA","136","","136","3,577","26.301"
"CHILE VERDE","814","38","776","12,662","16.318"
"COLIFLOR","138","","138","4,549","32.964"
"FRESA","6","","6","240","40.000"
"FRIJOL","10,364","3,591","6,773","3,953","0.584"
"LECHUGA","501","","501","20,872","41.661"
"MAIZ FORRAJERO EN VERDE","64,234","11,610","52,624","1,084,079","20.600"
"MAIZ GRANO","41,717","18,578","19,573","56,307","2.877"
"PEPINO","151","","151","6,258","41.444"
"SORGO FORRAJERO EN VERDE","2,434","556","1,838","26,897","14.634"
"SORGO GRANO","3","","3","20","6.500"
"TOMATE ROJO (JITOMATE)","304","","304","10,501","34.543"
"TOMATE VERDE","363","","363","8,072","22.237"
"ZANAHORIA","37","","37","802","21.676"
"TOTAL","123,567","35,302","84,659","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
