"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2009",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2010","Situación al 31 de ENERO de 2010",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","9,040","7,973","1,067","8,247","7.729"
"BROCOLI","283","","283","4,009","14.166"
"CALABACITA","142","","142","3,608","25.408"
"CEBOLLA","110","","110","2,328","21.164"
"CHILE VERDE","899","","899","8,847","9.841"
"COLIFLOR","134","","134","3,464","25.851"
"FRIJOL","9,752","8,272","1,480","1,902","1.285"
"LECHUGA","666","","666","24,790","37.222"
"MAIZ FORRAJERO EN VERDE","51,629","27,827","22,023","915,180","41.556"
"MAIZ GRANO","41,218","32,143","9,075","45,404","5.003"
"PEPINO","117","","117","4,125","35.256"
"SORGO FORRAJERO EN VERDE","1,595","376","945","18,055","19.106"
"TOMATE ROJO (JITOMATE)","268","","268","7,287","27.190"
"TOMATE VERDE","274","","274","5,952","21.723"
"ZANAHORIA","57","","57","1,119","19.632"
"TOTAL","116,184","76,591","37,540","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
